symbol,sector
20MICRONS,Chemicals
21STCENMGM,Finserv
360ONE,Amc
3IINFOLTD,It
3MINDIA,Fmcg
3PLAND,Construction
5PAISA,Broking
63MOONS,Capital Market
A2ZINFRA,Infra
AAATECH,It
AADHARHFC,Nbfc
AAKASH,Oil & Gas
AAREYDRUGS,Pharma
AARNAV,Textiles
AARTIDRUGS,Pharma
AARTIIND,Chemicals
AARTIPHARM,Pharma
AARTISURF,Surfactants
AARVEEDEN,Textiles
AAVAS,Nbfc
ABAN,Oil Exploration
ABB,Manufacturing
ABBOTINDIA,Pharma
ABCAPITAL,Nbfc
ABCOTS,Textiles
ABDL,Alcohol
ABFRL,Retail
ABGSEC,It
ABIN-RE1,Epc
ABINFRA,Epc
ABLBL,Retail
ABREL,Construction
ABSL10BANK,Etf
ABSLAMC,Amc
ABSLBANETF,Etf
ABSLLIQUID,Etf
ABSLMSCIN,It
ABSLNN50ET,Etf
ABSLPSE,Etf
ACC,Cement
ACCELYA,It
ACCURACY,Logistics
ACE,Auto
ACI,Chemicals
ACL,Cement
ACLGATI,Logistics
ACMESOLAR,Solar
ACUTAAS,Pharma
ADANIENSOL,Power Dist
ADANIENT,Conglomerate
ADANIGREEN,Renewable
ADANIPORTS,Ports
ADANIPOWER,Power
ADFFOODS,Fmcg
ADROITINFO,It
ADSL,It
ADVANCE,Fertilisers
ADVANIHOTR,Hotels
ADVENZYMES,Pharma
AEGISCHEM,Logistics
AEGISLOG,Logistics
AEGISVOPAK,Port
AEQUS,Defense
AEROFLEX,Steel Pipes
AETHER,Chemicals
AFCONS,Construction
AFFLE,It
AFIL,Finserv
AFSL,Finserv
AGARIND,Chemicals
AGARWALEYE,Hospital
AGI,Glass
AGIIL,Real Estate
AGROPHOS,Fertilisers
AGSTRA,Finserv
AHCL,Pharma
AHL,Holding
AHLEAST,Hotels
AHLUCONT,Construction
AHLWEST,Hotels
AIAENG,Mining
AIIL,Nbfc
AIRAN,It
AJANTPHARM,Pharma
AJAXENGG,Construction
AJMERA,Construction
AKASH,Epc
AKSHAR,Textiles
AKSHARCHEM,Chemicals
AKSHOPTFBR,Cable
AKUMS,Pharma
AKZOINDIA,Paints
ALBERTDAVD,Pharma
ALEMBICLTD,Chemicals
ALGOQUANT,Finserv
ALIVUS,Pharma
ALKALI,Chemicals
ALKEM,Pharma
ALKYLAMINE,Pharma
ALLCARGO,Logistics
ALLSEC,Bpo
ALMONDZ,Finserv
ALOKINDS,Textiles
ALPA,Pharma
ALPHA,It
ALPHAETF,Etf
ALPHAGEO,Oil & Gas
ALPL30IETF,Etf
ALPSINDUS,Textiles
AMAGI,It
AMANTA,Pharma
AMBER,Ems
AMBICAAGAR,Sugar
AMBIKCO,Cotton
AMBUJACEM,Cement
AMIORG,Chemicals
AMIRCHAND,Food Processing
AMJLAND,Construction
AMNPLST,Chemicals
AMRUTANJAN,Fmcg
ANANDRATHI,Amc
ANANTRAJ,Construction
ANDHRAPAP,Paper
ANDHRSUGAR,Sugar
ANGELONE,Broking
ANKITMETAL,Steel
ANTELOPUS,Oil
ANTHEM,Pharma
ANUHPHR,Pharma
ANUP,Hvac
ANURAS,Chemicals
AONEGOLD,Etf
AONELIQUID,Etf
AONENIFTY,Etf
AONESILVER,Etf
AONETMMQ50,It
AONETOTAL,It
APARINDS,Power Equipment
APCL,Cement
APCOTEXIND,Chemicals
APEX,Aquaculture
APLAPOLLO,Steel Pipes
APLLTD,Pharma
APOLLO,Defense
APOLLOHOSP,Hospital
APOLLOPIPE,Pvc Pipes
APOLLOTYRE,Tyres
APOLSINHOT,Hospital
APTECHT,It
APTUS,Nbfc
ARCHIDPLY,Plywood
ARE&M,Battery
ARENTERP,Metals
ARFIN,Metals
ARIES,Fertilisers
ARIHANTCAP,Finserv
ARIHANTSUP,Real Estate
ARIS,Epc
ARKADE,Real Estate
ARMANFIN,Nbfc
ARROWGREEN,Packaging
ARSHIYA,Infra
ARSSBL,Broking
ARSSINFRA,Infra
ARTEMISMED,Hospital
ARTNIRMAN,Construction
ARVEE,Pharma
ARVIND,Textiles
ARVINDFASN,Clothing
ARVSMART,Construction
ASAHIINDIA,Glass
ASAHISONG,Pigments
ASAL,Alcohol
ASALCBR,Auto Ancillary
ASHAPURMIN,Metal
ASHIANA,Construction
ASHIMASYN,Textiles
ASHOKA,Construction
ASHOKAMET,Metals
ASHOKLEY,Auto
ASIANENE,Oil & Gas
ASIANHOTNR,Hotels
ASIANPAINT,Paints
ASIANTILES,Tiles
ASKAUTOLTD,Auto Ancillary
ASMS,It
ASPINWALL,Logistics
ASTEC,Agrochem
ASTERDM,Hospital
ASTRAL,Pvc Pipes
ASTRAMICRO,Defense
ASTRAZEN,Pharma
ASTRON,Paper
ATALREAL,Construction
ATFL,Fmcg
ATGL,Gas
ATHERENERG,Auto
ATL,Ports
ATLANTAA,Infrastructure
ATLANTAELE,Transformers
ATUL,Chemicals
ATULAUTO,Auto
AUBANK,Banking
AURIONPRO,It
AUROPHARMA,Pharma
AURUM,Finserv
AUSOMENT,Media
AUTOAXLES,Auto Ancillary
AUTOBEES,Etf
AUTOIETF,Etf
AUTOIND,Auto Ancillary
AVADHSUGAR,Sugar
AVALON,Ems
AVANTEL,Telecom
AVANTIFEED,Aquaculture
AVG,Logistics
AVL,Retail
AVONMORE,Finserv
AVTNPL,Food Processing
AWFIS,It
AWHCL,Sewage
AWL,Fmcg
AXISBANK,Banking
AXISBNKETF,Etf
AXISBPSETF,Etf
AXISCADES,Engineering
AXISCETF,Etf
AXISGOLD,Etf
AXISHCETF,Etf
AXISILVER,Etf
AXISNIFTY,Etf
AXISTECETF,Etf
AXISVALUE,Etf
AXITA,Cotton
AXSENSEX,Etf
AYE,Finserv
AYMSYNTEX,Textiles
AZAD,Engineering
BAFNAPH,Pharma
BAGFILMS,Media
BAIDFIN,Nbfc
BAJAJ-AUTO,Auto
BAJAJCON,Fmcg
BAJAJELEC,Consumer Durables
BAJAJFINSV,Insurance
BAJAJHCARE,Pharma
BAJAJHFL,Nbfc
BAJAJHIND,Sugar
BAJAJHLDNG,Holding
BAJEL,Infra
BAJFINANCE,Nbfc
BALAJITELE,Media
BALAMINES,Pharma
BALAXI,Pharma
BALKRISHNA,Paper
BALKRISIND,Tyres
BALMLAWRIE,Misc
BALPHARMA,Pharma
BALRAMCHIN,Sugar
BALUFORGE,Forging
BANARISUG,Sugar
BANCOINDIA,Auto Ancillary
BANDHANBNK,Banking
BANG,Clothing
BANK10ADD,Etf
BANKA,Toilets
BANKADD,Etf
BANKBARODA,Banking
BANKBEES,Etf
BANKBETA,Etf
BANKBETF,Etf
BANKETF,Etf
BANKIETF,Etf
BANKINDIA,Banking
BANKNIFTY1,Etf
BANKPSU,Etf
BANSALWIRE,Wires
BANSWRAS,Textiles
BARBEQUE,Restaurant
BASF,Chemicals
BASML,Textiles
BASML-RE1,Textiles
BATAINDIA,Footwear
BAYERCROP,Agrochem
BBETF0432,Etf
BBL,Power Equipment
BBNPNBETF,Etf
BBNPPGOLD,Etf
BBOX,Datacentre
BBTC,Conglomerate
BCG,It
BCLIND,Fmcg
BCONCEPTS,Retail
BCPL,Epc
BDL,Defense
BECTORFOOD,Fmcg
BEDMUTHA,Steel Wires
BEL,Defense
BELLACASA,Textiles
BELRISE,Auto Ancillary
BEML,Engineering
BEPL,Abs
BERGEPAINT,Paints
BESTAGRO,Agrochem
BETA,Pharma
BFINVEST,Holding
BFSI,It
BFUTILITIE,Infra
BGRENERGY,Epc
BHAGCHEM,Chemicals
BHAGERIA,Chemicals
BHAGYANGR,Copper
BHANDA-RE2,Textiles
BHANDARI,Garment
BHARATCOAL,Coal
BHARATFORG,Auto Ancillary
BHARATGEAR,Auto Ancillary
BHARATRAS,Agrochem
BHARATSE,Auto Ancillary
BHARATWIRE,Steel Wires
BHARTIARTL,Telecom
BHARTIHEXA,Telecom
BHEL,Engineering
BIGBLOC,Construction
BIKAJI,Fmcg
BIL,Leather
BILVYAPAR,Finserv
BINANIIND,Cement
BIOCON,Pharma
BIOFILCHEM,Chemicals
BIRLACABLE,Cable
BIRLACORPN,Cement
BIRLAMONEY,Broking
BLACKBUCK,Logistics
BLAL,Construction
BLBLIMITED,Finserv
BLISSGVS,Pharma
BLKASHYAP,Construction
BLS,Bpo
BLSE,Bpo
BLUECHIP,Finserv
BLUECOAST,Hotels
BLUEDART,Logistics
BLUEJET,Pharma
BLUESTARCO,Consumer Durable
BLUESTONE,Jewellers
BMWVENTLTD,Metals
BODALCHEM,Chemicals
BOHRAIND,Fertilisers
BOMDYEING,Textiles
BONLON,Metals
BORANA,Textiles
BOROLTD,Fmcg
BORORENEW,Renewable
BOSCHLTD,Auto Ancillary
BPCL,Petrochem
BPL,Consumer Durables
BRIGADE,Construction
BRIGHOTEL,Hotels
BRITANNIA,Fmcg
BRNL,Epc
BROOKS,Pharma
BSE,Capital Market
BSE500IETF,Etf
BSL,Textiles
BSLGOLDETF,Etf
BSLNIFTY,Etf
BSLSENETFG,Etf
BSOFT,It
BURNPUR,Cement
BUTTERFLY,Consumer Durables
BVCL,Cement
BYKE,Hotels
CALSOFT,It
CAMLINFINE,Chemicals
CAMPUS,Footwear
CAMS,Financial Services
CANBK,Banking
CANFINHOME,Nbfc
CANHLIFE,Life Insurance
CANTABIL,Clothing
CAPACITE,Infra
CAPILLARY,It
CAPITALSFB,Banking
CAPLIPOINT,Pharma
CAPTRU-RE1,Finserv
CAPTRUST,Finserv
CARBORUNIV,Abrasives
CAREERP,It
CARERATING,Rating
CARTRADE,Auto
CASHIETF,Etf
CASTROLIND,Lubricants
CCCL,Real Estate
CCL,Coffee
CDSL,Capital Market
CEATLTD,Tyres
CEIGALL,Infra
CEINSYS,It
CELEBRITY,Clothing
CELLO,Consumer Durables
CEMPRO,Epc
CENTENKA,Textiles
CENTRALBK,Banking
CENTRUM,Financial Services
CENTUM,Ems
CENTURYPLY,Plywood
CERA,Building Materials
CEREBRAINT,It
CESC,Power
CEWATER,Power
CGCL,Nbfc
CGPOWER,Power
CHALET,Hotels
CHAMBLFERT,Fertilisers
CHEMBOND,Chemicals
CHEMBONDCH,Chemicals
CHEMCON,Chemicals
CHEMFAB,Chemicals
CHEMICAL,It
CHEMPLASTS,Chemicals
CHENNPETRO,Petrochemicals
CHEVIOT,Paper
CHOICEGOLD,Etf
CHOICEIN,Broking
CHOLAFIN,Nbfc
CHOLAHLDNG,Holding
CIEINDIA,Auto Ancillary
CIFL,Finserv
CIGNITITEC,It
CINELINE,Construction
CINEVISTA,Media
CIPLA,Pharma
CLCIND,Textiles
CLEAN,Chemicals
CLEANMAX,Power
CLEDUCATE,Education
CMPDI,Coal
CMSINFO,Cash Management
COALINDIA,Coal
COASTCORP,Aquaculture
COCHINSHIP,Shipbuilder
COFFEEDAY,Fastfood
COFORGE,It
COHANCE,Pharma
COLPAL,Fmcg
COMMOIETF,Etf
COMPUSOFT,It
CONCOR,Logistics
CONCORDBIO,Pharma
CONFIPET,Petrochem
CONS,It
CONSOFINVT,Finserv
CONSUMBEES,Etf
CONSUMER,It
CONSUMIETF,Etf
CONTROLPR,It
COROMANDEL,Fertilisers
CORONA,Pharma
COSMOFIRST,Packaging
COUNCODOS,Real Estate
CPCAP,Finserv
CPPLUS,Security
CPSEETF,Etf
CRAFTSMAN,Auto Ancillary
CRAMC,It
CREATIVE,Media
CREATIVEYE,Media
CREDITACC,Nbfc
CREST,Finserv
CRISIL,Rating
CRIZAC,Retail
CROMPTON,Consumer Durables
CSBBANK,Banking
CSLFINANCE,Nbfc
CTE,It
CUB,Banking
CUMMINSIND,Power Equipment
CUPID,Pharma
CURAA,It
CYBERMEDIA,Media
CYBERTECH,It
CYIENT,It
CYIENTDLM,It
DABUR,Fmcg
DALBHARAT,Cement
DALMIASUG,Sugar
DAMCAPITAL,Nbfc
DAMODARIND,Textiles
DANGEE,Ecommerce
DATAMATICS,It
DATAPATTNS,Defense
DAVAN-RE1,Diversified
DAVANGERE,Sugar
DBCORP,Media
DBEIL,Epc
DBL,Construction
DBREALTY,Construction
DBSTOCKBRO,It
DCAL,Pharma
DCBBANK,Banking
DCI,It
DCM,Consumer Durables
DCMFINSERV,Nbfc
DCMNVL,Textiles
DCMSHRIRAM,Fertilisers
DCMSIL,Textiles
DCW,Chemicals
DCXINDIA,Defense
DDEVPLSTIK,Chemicals
DECCANCE,Cement
DEEDEV,Steel Pipes
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DEEPENR,Oil & Gas
DEEPINDS,Oil Exploration
DEFENCE,It
DELHIVERY,Logistics
DELPHIFX,Foriegn Exchange
DELTACORP,Gaming
DELTAMAGNT,Magnet
DEN,Broadband
DENTA,Epc
DEVIT,It
DEVYANI,Restaurant
DGCONTENT,Media
DHAMPURSUG,Sugar
DHANBANK,Banking
DHANI,Nbfc
DHANUKA,Pesticide
DHARAN,Real Estate
DHARMAJ,Agrochem
DHUNINV,Finserv
DIACABS,Cable
DIAMINESQ,Chemicals
DIAMONDYD,Fmcg
DICIND,Chemicals
DIGIDRIVE,Retail
DIGISPICE,It
DIGITIDE,It
DIGJAMLMTD,Textiles
DISHTV,Broadband
DIVGIITTS,Auto Ancillary
DIVIDEND,It
DIVISLAB,Pharma
DIVOPPBEES,Etf
DIXON,Ems
DJML,Logistics
DLF,Construction
DLINKINDIA,Electronics
DMART,Retail
DMCC,Chemicals
DNAMEDIA,Media
DODLA,Milk
DOLATALGO,Amc
DOLLAR,Clothing
DOLPHIN,Infra
DOMS,Stationery
DONEAR,Textiles
DPABHUSHAN,Jewellers
DPSCLTD,Power Dist
DPWIRES,Wires
DRCSYSTEMS,It
DREAMFOLKS,Airport Management
DREDGECORP,Marine Eng
